ROUTE,vuelos,tasa_retraso_pct,distancia,impacto,recomendacion
IAH → LAX,4432,36.4,1379.0,3.0563646671474713,CANCELAR
EWR → PDX,324,50.0,2434.0,2.8903717578961645,MONITOREAR
IAH → SFO,3439,34.3,1635.0,2.793027051578267,REFORZAR
ORD → SFO,7378,31.1,1846.0,2.7698462001067092,REFORZAR
EWR → BQN,291,48.8,1585.0,2.7685817543796882,MONITOREAR
ORD → DEN,5613,31.5,888.0,2.719344793706793,REFORZAR
DEN → ANC,418,45.0,2405.0,2.7159666446361403,MONITOREAR
DEN → HNL,334,46.4,3365.0,2.696369420741189,MONITOREAR
ORD → IAH,4186,32.1,925.0,2.6769797898649084,REFORZAR
ORD → EWR,3874,31.8,719.0,2.6273296243814874,REFORZAR
SJU → EWR,1195,37.0,1608.0,2.621783541815276,CANCELAR
IAH → EWR,3217,32.4,1400.0,2.6166902668254446,REFORZAR
ORD → LAS,4268,31.3,1514.0,2.616335891687975,REFORZAR
DEN → SFO,5365,30.3,967.0,2.6020584514846337,REFORZAR
IAH → LGA,2340,32.9,1416.0,2.5523511425477245,REFORZAR
EWR → SFO,5029,29.5,2565.0,2.5142780486707292,MONITOREAR
ORD → LAX,7941,27.5,1744.0,2.4694434849961833,MONITOREAR
ORD → MSP,6361,27.9,334.0,2.443465504593386,MONITOREAR
IAH → ORD,4294,29.2,925.0,2.442572401704108,MONITOREAR
DEN → EWR,2609,31.0,1605.0,2.438683908392386,REFORZAR
LAS → BDL,269,43.5,2297.0,2.4336994501268,MONITOREAR
MIA → JFK,3596,29.6,1089.0,2.4235229090950874,MONITOREAR
MCO → JFK,5346,28.2,944.0,2.420717298869079,MONITOREAR
EWR → IAH,3340,29.6,1400.0,2.4016629214473415,MONITOREAR
BWI → BDL,2199,31.2,283.0,2.4010764930530857,REFORZAR
LAS → SFO,7870,26.7,414.0,2.395207162156857,MONITOREAR
LAS → ALB,274,42.3,2237.0,2.3743531890021536,MONITOREAR
ORD → DFW,7677,26.5,802.0,2.370685793079393,MONITOREAR
LAX → SFO,13457,24.8,337.0,2.3577991645439025,MONITOREAR
IAH → DEN,4513,28.0,862.0,2.3561208719515605,MONITOREAR
BWI → OKC,334,40.4,1180.0,2.347700961162587,MONITOREAR
EWR → LAX,4603,27.8,2454.0,2.3447808651811934,MONITOREAR
ORD → JFK,1577,31.8,740.0,2.3415229086542464,REFORZAR
ORD → LGA,9575,25.5,733.0,2.337562257582456,MONITOREAR
MDW → LGA,2184,30.4,725.0,2.3374296544068978,REFORZAR
BQN → EWR,291,41.2,1585.0,2.3374091860746553,MONITOREAR
PBI → BOS,1606,31.6,1197.0,2.3325545986641196,REFORZAR
DEN → LAX,5688,26.9,862.0,2.325804658328947,MONITOREAR
EWR → DEN,2643,29.4,1605.0,2.3166229548936608,MONITOREAR
ORD → BOS,6558,26.3,867.0,2.3113599717974083,MONITOREAR
IAH → LAS,2769,29.1,1222.0,2.30653628324275,MONITOREAR
DFW → HNL,697,35.2,3784.0,2.3044684645877047,CANCELAR
EWR → ORD,3706,28.0,719.0,2.300958353916686,MONITOREAR
SRQ → LGA,433,37.9,1047.0,2.300809598912944,MONITOREAR
DAL → SMF,237,41.8,1442.0,2.285649138994485,MONITOREAR
ORD → SMF,534,36.3,1781.0,2.2797836895425507,CANCELAR
BWI → BUF,1803,30.4,281.0,2.2791509958538083,REFORZAR
ACY → ORD,147,45.6,720.0,2.275637259571104,MONITOREAR
PHX → SFO,4863,26.8,651.0,2.2751620971882147,MONITOREAR
LAX → OAK,6288,26.0,337.0,2.274063566868351,MONITOREAR
BWI → ORF,1147,32.2,159.0,2.2684594477156574,REFORZAR
MIA → STT,935,33.0,1107.0,2.257380354665267,MONITOREAR
PBI → LGA,2905,28.3,1035.0,2.2566953934079415,MONITOREAR
OAK → MSY,177,43.5,1903.0,2.2516251336696156,MONITOREAR
PBI → JFK,1910,29.8,1028.0,2.2513478392701214,MONITOREAR
DFW → CID,1027,32.4,685.0,2.2467446960168527,REFORZAR
DFW → SFO,4555,26.6,1464.0,2.2407788953786194,MONITOREAR
DEN → LGA,3299,27.6,1620.0,2.235979409259089,MONITOREAR
LAS → ONT,1372,30.9,197.0,2.2322236657603214,REFORZAR
HOU → CLT,379,37.5,920.0,2.2265760769059098,MONITOREAR
BWI → DAL,1090,31.8,1209.0,2.224070686120974,REFORZAR
MDW → SEA,1028,32.0,1733.0,2.219318542724835,REFORZAR
PHX → OKC,657,34.2,833.0,2.2187879343217367,MONITOREAR
ORD → BWI,2468,28.4,622.0,2.2183704013471788,MONITOREAR
ORD → ASE,620,34.5,1013.0,2.2182532199235023,MONITOREAR
ORD → MCO,4416,26.4,1005.0,2.21574925122063,MONITOREAR
EWR → TPA,2110,28.9,997.0,2.2121340924498623,MONITOREAR
HOU → MCO,1399,30.5,849.0,2.2092714572729717,REFORZAR
ORD → HNL,334,38.0,4243.0,2.2082335773311463,MONITOREAR
LAX → SMF,5550,25.6,373.0,2.2071176209255627,MONITOREAR
ORD → TPA,2434,28.3,1012.0,2.206633430413935,MONITOREAR
HOU → BHM,610,34.4,570.0,2.2062298812655707,MONITOREAR
EWR → MCO,4774,26.0,937.0,2.2024443497936814,MONITOREAR
MCO → IAD,1658,29.7,758.0,2.2017700987014863,MONITOREAR
FLL → JFK,4432,26.2,1069.0,2.1999108318479053,MONITOREAR
DFW → OGG,504,35.3,3711.0,2.196569422629193,CANCELAR
LAX → FLL,1747,29.4,2342.723,2.1949026611794125,MONITOREAR
MDW → PHL,1892,29.0,668.0,2.1881630273874286,MONITOREAR
SJU → BDL,456,35.7,1666.0,2.185729932996636,MONITOREAR
ANC → DEN,408,36.3,2405.0,2.1820899843087105,MONITOREAR
EWR → SAT,257,39.3,1569.0,2.1807869013638213,MONITOREAR
LAX → HOU,1543,29.7,1390.0,2.180420704151859,MONITOREAR
LGA → MCI,716,33.1,1107.0,2.175888135263974,MONITOREAR
MDW → ORF,538,34.6,704.0,2.1755990618159777,MONITOREAR
EWR → PBI,2571,27.7,1023.0,2.175017907412651,MONITOREAR
MDW → EWR,1804,29.0,711.0,2.1743508931805446,MONITOREAR
DAL → ABQ,1572,29.5,580.0,2.1712306720317995,MONITOREAR
MYR → PHL,194,41.2,473.0,2.1703575615340913,MONITOREAR
HOU → LGA,937,31.6,1428.0,2.1622879171873413,MONITOREAR
LGA → FLL,5304,25.2,1076.0,2.161206566030156,MONITOREAR
PBI → HPN,1042,31.1,1056.0,2.16110703613944,REFORZAR
SFO → LAX,13744,22.6,337.0,2.1534088275946326,MONITOREAR
EWR → SAN,983,31.2,2425.0,2.149870045485916,MONITOREAR
SAN → SFO,6942,24.3,447.0,2.149418882730481,MONITOREAR
IAH → MCO,2610,27.3,854.0,2.14771980158647,MONITOREAR
MDW → LAX,1858,28.5,1750.0,2.145267937021528,MONITOREAR
FLL → LGA,5307,25.0,1076.0,2.1441954957069735,MONITOREAR
HOU → JAX,373,36.2,816.0,2.1436113879110614,MONITOREAR
JFK → ATL,1913,28.3,760.0,2.1384691153515916,MONITOREAR
LAX → DEN,5750,24.7,862.0,2.1382679180464748,MONITOREAR
MDW → SAN,1184,30.2,1728.0,2.1371494522640733,REFORZAR
ORD → MSY,1399,29.5,837.0,2.136836327526317,MONITOREAR
MIA → LGA,6318,24.4,1096.0,2.1352825474523356,MONITOREAR
BOS → SJU,1032,30.7,1674.0,2.130350961434743,REFORZAR
BWI → DEN,1904,28.2,1491.0,2.1295828447290694,MONITOREAR
LGA → PBI,2904,26.7,1035.0,2.1290164483772314,MONITOREAR
LAS → OAK,3455,26.1,407.0,2.126517789148662,MONITOREAR
SNA → SFO,4313,25.4,372.0,2.125824805148552,MONITOREAR
BWI → FLL,3972,25.6,925.0,2.121478406442256,MONITOREAR
IAH → HNL,334,36.5,3904.0,2.1210664624364957,MONITOREAR
MDW → OAK,995,30.7,1844.0,2.119142020307688,MONITOREAR
MIA → DEN,1349,29.4,1709.0,2.11889294372508,MONITOREAR
ORD → SAT,1036,30.5,1041.0,2.1176523389599256,REFORZAR
IAH → SAN,2033,27.8,1303.0,2.1176004521886806,MONITOREAR
PIT → JFK,164,41.5,340.0,2.1164445675470422,MONITOREAR
BWI → MCO,3113,26.3,787.0,2.1153989908261432,MONITOREAR
ORD → SAN,2673,26.8,1723.0,2.1147763999252303,MONITOREAR
ORD → COU,648,32.6,315.0,2.1104883670108414,MONITOREAR
ORD → PDX,2149,27.5,1739.0,2.1100084215766906,MONITOREAR
MIA → DFW,3672,25.7,1121.0,2.1095823801972777,MONITOREAR
BOS → SFO,3889,25.5,2704.0,2.1078063702097154,MONITOREAR
DAL → SFO,1319,29.3,1476.0,2.105096341746173,MONITOREAR
LAS → LBB,334,36.2,775.0,2.103633039457566,MONITOREAR
FLL → BDL,945,30.7,1173.0,2.103313772740579,MONITOREAR
SEA → SFO,6845,23.8,679.0,2.101843149577967,MONITOREAR
MCO → EWR,4790,24.8,937.0,2.1016228512204305,MONITOREAR
ATL → LGA,8234,23.3,762.0,2.100734338142855,MONITOREAR
MIA → BOS,2319,27.1,1258.0,2.0999495523962493,MONITOREAR
ORD → PHL,4744,24.8,678.0,2.0992297132880355,MONITOREAR
DFW → ASE,335,36.1,701.0,2.098901121988849,MONITOREAR
FLL → LAX,1752,28.1,2342.724,2.098652229290471,MONITOREAR
DFW → LAX,6634,23.8,1235.0,2.0943912462426657,MONITOREAR
ORD → ATL,6391,23.9,606.0,2.0942724010864175,MONITOREAR
ORD → COS,935,30.6,911.0,2.0932072379623383,MONITOREAR
SFO → STL,884,30.8,1735.0,2.089612775292394,MONITOREAR
LGA → MDW,2219,27.1,725.0,2.088004031114733,MONITOREAR
DFW → JFK,558,33.0,1391.0,2.0870384575858325,MONITOREAR
HOU → FLL,678,32.0,957.0,2.0861271321409265,MONITOREAR
IAH → BOS,1675,28.1,1597.0,2.086022732836826,MONITOREAR
LAX → MDW,1864,27.7,1750.0,2.085942958683013,MONITOREAR
MCO → LBE,318,36.2,824.0,2.0858626005664243,MONITOREAR
SFO → HNL,2067,27.3,2398.0,2.0840420217931226,MONITOREAR
IAH → SAT,2312,26.9,191.0,2.08363855381412,MONITOREAR
MIA → EWR,2714,26.3,1085.0,2.0793250350238366,MONITOREAR
MIA → LAX,3024,25.9,2342.0,2.075712955960551,MONITOREAR
LAX → SJC,6341,23.7,308.0,2.0748856479969073,MONITOREAR
LAX → MCI,1000,30.0,1363.0,2.072326583694641,MONITOREAR
JFK → PDX,854,30.7,2454.0,2.072228876493091,MONITOREAR
EWR → CLE,1593,28.1,404.0,2.071918181084724,MONITOREAR
IAH → TPA,1767,27.7,787.0,2.0711396568325555,MONITOREAR
